7410052098,0,咱就是说不理解
C_13083923838,2,www.woyetuan.com
C_3490478026217385,2,...
C_3521634747041205,0,？？？？？？？？？？？？？？
C_3521635150026001,0,节哀
C_3524528560409638,2,怎么啦…？？
C_3524713395374750,1,同意领导发言
C_3525803403134945,1,这么精彩
C_3525813914184122,1,哎哟喂~这么精彩！
C_3525823762144959,1,果然很有末日的感觉了。哈哈。
C_3526868604985512,1,平淡，幸福，安康！
C_3526888968079829,2,我也要
C_3526890503161416,2,珍爱生命，远离信用卡。
C_3526895503009330,1,哈哈，平安夜、圣诞节快乐！
C_3526895566100841,1,期待...
C_3529068765236735,2,你在化州？
C_3529790424698633,2,我在深圳。。不过现在已经回学校了！
C_3531770513015081,2,90后的员工跟80，70后的员工所需求也是不一样的哈，再过几年，00年横空出道，动不动身后都是有几套房产或多国绿卡几千万身家背景的人，那时候可能更有意思
C_3534121152718324,0,//@舟山评论:不要看这个东西。怪我手贱，操。
C_3534452431136435,2,✨亲，我家上新啦，衣鞋帽包 ，韩国货，欧洲大牌原单，不买不要紧，关键是给亲们视觉上的享受，小主在此恭候你的光临，如有打扰，请谅解👼🎀
C_3537790807517150,2,bring me。。。我又要
C_3537983947162797,2,我在家 来稳我揽 无聊死嗲
C_3538366811645545,2,阿佳叫你晚上打球哦，我这两天都挺忙的。。。
C_3538367012766124,2,你现在在哪里？
C_3538367855723890,2,回覆@小子别太狂了:昨晚叫你你都不在~~~
C_3538368627629875,2,晚上我叔叫我回去帮忙抽水。。。这两天应该可以抓鱼了。。。
C_3538369391172829,2,回覆@小子别太狂了:抽什么水？阿佳想打球直接叫他来叫我就行嗲
C_3538797037771874,2,最近在忙什么呢
C_3538804579581252,2,我忙着睡觉啊，施工94，哈哈
C_3539014260509063,1,这么高！！！太牛逼了。你房地产管理多少啊估计班级最高分
C_3539016865547945,2,你多少，我没满分
C_3539024516440548,0,我很低的。84
C_3539045374196595,1,那我比你高了，哈哈，90多喔
C_3539058230233479,2,你的分数决定了班级最高分
C_3539068740213572,2,擦，别这样啊，应该有比我高的吧
C_3539071110744845,2,没的呐
C_3539080149407139,2,你咋知道呢？
C_3539100802197740,2,另外那个很厉害的同学才89   看来老师对你偏心偏得利害啊
C_3539117419838889,2,。。。她爱上我了
C_3539141923128117,2,正解
C_3539171022497018,2,我口味很清淡的
C_3541248289799589,0, 我们司机迷路了，我们还在路上。
C_3541249107889788,2,姐妹，哥只能很同情你
C_3541250407528103,0, 司机饶了好几遍同一条路，我了个去啊。。。
C_3541283940986433,2,[花心]
C_3541421015505324,2, @孤单的打网球 这不是我做的！我的可美了！
C_3541422534111551,2,。。。好吧，你自恋了，哈哈
C_3541428402065642,1,这叫自信
C_3541531598594453,0,。。。我觉得，你真心有点自信啊，改天你亲自给我做杯啊，让我批评下
C_3541545926312343,2,好吧
C_3541577660472267,2,nono'我不轻易做的
C_3543351070834509,2,看春晚的都是好孩子。
C_3543397124371732,0,当然会出去玩拉！在电视看春晚太多广告了！我不喜欢
C_3544248505204702,2,台州人……
C_3544258223455404,2,我老家台州的。宁波出身长大
C_3544261285063321,2,经历好丰富，嘎嘎
C_3544281572901223,2,嗯，没办法，这不愿我。你在哪里啊
C_3544450758501383,2,绍兴诸暨，知道不
C_3544452591174751,2,你和我说过了，西施故里嘛
C_3544454860108489,2,那你还问
C_4359723769298765,1,希望能帮助到更多的人。 
C_4359807064228567,1,我靠，有这么好看的同桌真是我这辈子的荣幸
C_4359855882403962,1,卧槽太好看了第一张
C_4359876794994088,2,为什么我看见的天空跟你看见的不一样
C_4360010265687306,2,能不能开发一个安卓版的？
C_4360033384740105,2,我我我我看了五六遍
C_4360039311053767,1,@孔刘GongYoo 送你一碗长寿面，祝你生日快乐！ 查看动图
C_4360315275341990,2,医务室开到几点？
C_4360332908413659,1,吃到了最好吃的草莓千层🍓
C_4360335274073093,2,你好，请联系医务室服务热线咨询，仓前校区28867120,下沙校区28865120。
C_4360391167561637,2,想念招摇
C_4360554053040025,2,奖品名称：2人平分2000*2人；抽奖时间：2019-04-13 09:55:44；抽奖规则：微博抽奖平台
C_4361145625614590,0,不想看就别进来，该滚的是你吧！
C_4515126919017802,2,什么时候回来
C_4515126986469820,2,什么时候回来
C_4515127120402993,2,啷个还没回来
C_4515127163162265,0,还不回
C_4515127203961466,0,还没回
C_4515128076858448,2,你是个头
C_4515144648825576,2,图九  好瘦哇你
C_4515149627721105,0,我死了
C_4515196096259705,1,💗💕💝❤️💜💖
C_4515196386037114,1,💜💝💖❤️💕💗
C_4515238878525377,0,关注太多了
C_4515238920504354,2,晚安
C_4515251930496352,2,这么
C_4515260515506530,0,你要死？
C_4515264525595349,0,宛宛那天在你直播间99买的牙刷为什么只有2刷头也不送牙膏，完全不像你直播说的，你说拍前三个选项99就行，我们就拍了，结果收到卖家说要备注才能发4刷头送牙膏，卖家是欺骗啊
